# MEAN_SAMPLE_SIZE = 99339
# TOTAL_GENES = 18121
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Curated_gene_sets:kegg_trypt...          SET      37     0.021254   0.00095943     0.096038      0.41243 Curated_gene_sets:kegg_tryptophan_metabolism
Curated_gene_sets:kegg_beta_...          SET      21     -0.11797   -0.0040137      0.12747      0.82262 Curated_gene_sets:kegg_beta_alanine_metabolism
Curated_gene_sets:kegg_tauri...          SET       9     -0.27065   -0.0060304       0.2101      0.90115 Curated_gene_sets:kegg_taurine_and_hypotaurine_metabolism
Curated_gene_sets:kegg_selen...          SET      23    -0.053364      -0.0019      0.12822      0.66136 Curated_gene_sets:kegg_selenoamino_acid_metabolism
Curated_gene_sets:kegg_gluta...          SET      46    -0.073566   -0.0037019     0.087586      0.79952 Curated_gene_sets:kegg_glutathione_metabolism
Curated_gene_sets:kegg_starc...          SET      51   -0.0059969   -0.0003177     0.099136      0.52412 Curated_gene_sets:kegg_starch_and_sucrose_metabolism
Curated_gene_sets:kegg_n_gly...          SET      44  -0.00090589  -4.4586e-05     0.089403      0.50404 Curated_gene_sets:kegg_n_glycan_biosynthesis
Curated_gene_sets:kegg_other...          SET      15     -0.22992   -0.0066124      0.14613      0.94217 Curated_gene_sets:kegg_other_glycan_degradation
Curated_gene_sets:kegg_o_gly...          SET      29     0.035182    0.0014063      0.12125      0.38585 Curated_gene_sets:kegg_o_glycan_biosynthesis
Curated_gene_sets:kegg_amino...1         SET      43      0.10235      0.00498     0.087987      0.12237 Curated_gene_sets:kegg_amino_sugar_and_nucleotide_sugar_metabolism
Curated_gene_sets:kegg_glyco...5         SET      20     -0.17734   -0.0058883      0.13678      0.90258 Curated_gene_sets:kegg_glycosaminoglycan_degradation
Curated_gene_sets:kegg_glyco...2         SET      21    -0.038821   -0.0013208      0.14412      0.60618 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate
Curated_gene_sets:kegg_glyco...4         SET      13    -0.025768  -0.00068994      0.16576      0.56177 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_keratan_sulfate
Curated_gene_sets:kegg_glyco...3         SET      25       -0.222   -0.0082402       0.1354      0.94944 Curated_gene_sets:kegg_glycosaminoglycan_biosynthesis_heparan_sulfate
Curated_gene_sets:kegg_glyce...1         SET      45      0.02051    0.0010208     0.094557      0.41414 Curated_gene_sets:kegg_glycerolipid_metabolism
Curated_gene_sets:kegg_inosi...          SET      53     0.034109     0.001842     0.081165      0.33715 Curated_gene_sets:kegg_inositol_phosphate_metabolism
Curated_gene_sets:kegg_glyco...9         SET      22    -0.073942   -0.0025749      0.11805      0.73445 Curated_gene_sets:kegg_glycosylphosphatidylinositol_gpi_anchor_biosynthesis
Curated_gene_sets:kegg_glyce...2         SET      75     0.033463    0.0021484     0.072008      0.32107 Curated_gene_sets:kegg_glycerophospholipid_metabolism
Curated_gene_sets:kegg_ether...          SET      33      0.15351     0.006545       0.1107     0.082784 Curated_gene_sets:kegg_ether_lipid_metabolism
Curated_gene_sets:kegg_arach...          SET      54     0.023232    0.0012663     0.088421      0.39638 Curated_gene_sets:kegg_arachidonic_acid_metabolism
Curated_gene_sets:kegg_linol...          SET      29      0.23208    0.0092772      0.12693     0.033751 Curated_gene_sets:kegg_linoleic_acid_metabolism
Curated_gene_sets:kegg_alpha...          SET      19      0.23578    0.0076308       0.1505     0.058607 Curated_gene_sets:kegg_alpha_linolenic_acid_metabolism
Curated_gene_sets:kegg_sphin...          SET      37    -0.064223   -0.0028991      0.10587      0.72795 Curated_gene_sets:kegg_sphingolipid_metabolism
Curated_gene_sets:kegg_glyco...8         SET      23     -0.17617   -0.0062724      0.12541      0.91994 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series
Curated_gene_sets:kegg_glyco...7         SET      13     -0.22144   -0.0059292      0.16119      0.91523 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_globo_series
Curated_gene_sets:kegg_glyco...6         SET      15     -0.15429   -0.0044374      0.15896      0.83413 Curated_gene_sets:kegg_glycosphingolipid_biosynthesis_ganglio_series
Curated_gene_sets:kegg_pyruv...          SET      37     -0.18842   -0.0085055     0.093198      0.97839 Curated_gene_sets:kegg_pyruvate_metabolism
Curated_gene_sets:kegg_glyox...          SET      16    -0.043016   -0.0012777      0.14642      0.61554 Curated_gene_sets:kegg_glyoxylate_and_dicarboxylate_metabolism
Curated_gene_sets:kegg_propa...          SET      32     -0.19081   -0.0080116      0.10562      0.96458 Curated_gene_sets:kegg_propanoate_metabolism
Curated_gene_sets:kegg_butan...          SET      32    -0.046116   -0.0019363      0.11437       0.6566 Curated_gene_sets:kegg_butanoate_metabolism
Curated_gene_sets:kegg_one_c...          SET      17     0.045802    0.0014022      0.14381      0.37506 Curated_gene_sets:kegg_one_carbon_pool_by_folate
Curated_gene_sets:kegg_ribof...          SET      15    -0.013394  -0.00038521      0.16439      0.53247 Curated_gene_sets:kegg_riboflavin_metabolism
Curated_gene_sets:kegg_nicot...          SET      24    -0.013387  -0.00048688      0.13611      0.53918 Curated_gene_sets:kegg_nicotinate_and_nicotinamide_metabolism
Curated_gene_sets:kegg_panto...          SET      15    -0.061927    -0.001781      0.15829      0.65218 Curated_gene_sets:kegg_pantothenate_and_coa_biosynthesis
Curated_gene_sets:kegg_folat...          SET      11    -0.084183   -0.0020735      0.17674      0.68307 Curated_gene_sets:kegg_folate_biosynthesis
Curated_gene_sets:kegg_retin...          SET      60      0.14229    0.0081743     0.091487     0.059945 Curated_gene_sets:kegg_retinol_metabolism
Curated_gene_sets:kegg_porph...          SET      39      0.01306   0.00060522      0.11431      0.45452 Curated_gene_sets:kegg_porphyrin_and_chlorophyll_metabolism
Curated_gene_sets:kegg_terpe...          SET      15    -0.089999   -0.0025883      0.16508      0.70718 Curated_gene_sets:kegg_terpenoid_backbone_biosynthesis
Curated_gene_sets:kegg_limon...          SET       9     -0.12039   -0.0026824      0.19496      0.73155 Curated_gene_sets:kegg_limonene_and_pinene_degradation
Curated_gene_sets:kegg_nitro...          SET      21      0.16855    0.0057345      0.14045      0.11507 Curated_gene_sets:kegg_nitrogen_metabolism
Curated_gene_sets:kegg_sulfu...          SET      11    -0.013501  -0.00033254      0.19635      0.52741 Curated_gene_sets:kegg_sulfur_metabolism
Curated_gene_sets:kegg_amino...2         SET      41     0.087481    0.0041566     0.087766      0.15945 Curated_gene_sets:kegg_aminoacyl_trna_biosynthesis
Curated_gene_sets:kegg_metab...          SET      70    -0.081023   -0.0050262     0.086097      0.82666 Curated_gene_sets:kegg_metabolism_of_xenobiotics_by_cytochrome_p450
Curated_gene_sets:kegg_drug_...1         SET      70    -0.043254   -0.0026832     0.085764      0.69299 Curated_gene_sets:kegg_drug_metabolism_cytochrome_p450
Curated_gene_sets:kegg_drug_...2         SET      51     0.056845    0.0030115      0.10018      0.28522 Curated_gene_sets:kegg_drug_metabolism_other_enzymes
Curated_gene_sets:kegg_biosy...          SET      21    -0.053925   -0.0018347      0.14425      0.64573 Curated_gene_sets:kegg_biosynthesis_of_unsaturated_fatty_acids
Curated_gene_sets:kegg_abc_t...          SET      42      0.07972    0.0038336     0.099352      0.21117 Curated_gene_sets:kegg_abc_transporters
Curated_gene_sets:kegg_ribos...          SET      76      0.10855    0.0070153     0.067322     0.053445 Curated_gene_sets:kegg_ribosome
Curated_gene_sets:kegg_rna_d...          SET      57    -0.086847   -0.0048633      0.07632      0.87242 Curated_gene_sets:kegg_rna_degradation
Curated_gene_sets:kegg_rna_p...          SET      30     -0.18236   -0.0074138       0.1027       0.9621 Curated_gene_sets:kegg_rna_polymerase
Curated_gene_sets:kegg_basal...2         SET      31    -0.018267  -0.00075493      0.10126      0.57158 Curated_gene_sets:kegg_basal_transcription_factors
Curated_gene_sets:kegg_dna_r...          SET      33     -0.12252    -0.005224      0.10321      0.88239 Curated_gene_sets:kegg_dna_replication
Curated_gene_sets:kegg_splic...          SET     121     0.036772    0.0029948      0.05279      0.24304 Curated_gene_sets:kegg_spliceosome
Curated_gene_sets:kegg_prote...1         SET      44     -0.10675   -0.0052538      0.09597      0.86699 Curated_gene_sets:kegg_proteasome
Curated_gene_sets:kegg_prote...2         SET      22     0.025293   0.00088078      0.12496       0.4198 Curated_gene_sets:kegg_protein_export
Curated_gene_sets:kegg_ppar_...          SET      63      0.11385    0.0067016     0.077228     0.070217 Curated_gene_sets:kegg_ppar_signaling_pathway
Curated_gene_sets:kegg_base_...          SET      31     -0.10274    -0.004246      0.10221      0.84261 Curated_gene_sets:kegg_base_excision_repair
Curated_gene_sets:kegg_nucle...          SET      41   -0.0016933  -8.0456e-05     0.088061      0.50767 Curated_gene_sets:kegg_nucleotide_excision_repair
Curated_gene_sets:kegg_misma...          SET      22      0.29452     0.010256      0.13509     0.014628 Curated_gene_sets:kegg_mismatch_repair
Curated_gene_sets:kegg_homol...          SET      28    -0.096987   -0.0038096      0.10689       0.8179 Curated_gene_sets:kegg_homologous_recombination
Curated_gene_sets:kegg_non_h...          SET      12      0.31023     0.007981      0.19545     0.056234 Curated_gene_sets:kegg_non_homologous_end_joining
Curated_gene_sets:kegg_mapk_...          SET     252     0.026844    0.0031436     0.039166      0.24655 Curated_gene_sets:kegg_mapk_signaling_pathway
Curated_gene_sets:kegg_erbb_...          SET      84      0.11708    0.0079528     0.063165     0.031915 Curated_gene_sets:kegg_erbb_signaling_pathway
Curated_gene_sets:kegg_calci...          SET     162    -0.047622   -0.0044827     0.051304      0.82335 Curated_gene_sets:kegg_calcium_signaling_pathway
Curated_gene_sets:kegg_cytok...          SET     231     -0.02247   -0.0025208      0.04274      0.70046 Curated_gene_sets:kegg_cytokine_cytokine_receptor_interaction
Curated_gene_sets:kegg_chemo...          SET     176    -0.057548    -0.005644     0.046242      0.89333 Curated_gene_sets:kegg_chemokine_signaling_pathway
Curated_gene_sets:kegg_phosp...          SET      74   -0.0011062  -7.0546e-05     0.069757      0.50633 Curated_gene_sets:kegg_phosphatidylinositol_signaling_system
Curated_gene_sets:kegg_neuro...1         SET     241    -0.092968     -0.01065     0.042958      0.98477 Curated_gene_sets:kegg_neuroactive_ligand_receptor_interaction
Curated_gene_sets:kegg_cell_...2         SET     116     0.078816    0.0062859      0.05803     0.087212 Curated_gene_sets:kegg_cell_cycle
Curated_gene_sets:kegg_oocyt...          SET     103     0.037105    0.0027895      0.06006      0.26836 Curated_gene_sets:kegg_oocyte_meiosis
Curated_gene_sets:kegg_p53_s...          SET      66     0.073609    0.0044343     0.072502        0.155 Curated_gene_sets:kegg_p53_signaling_pathway
Curated_gene_sets:kegg_ubiqu...          SET     123     -0.02492   -0.0020462     0.055659      0.67282 Curated_gene_sets:kegg_ubiquitin_mediated_proteolysis
Curated_gene_sets:kegg_snare...          SET      36    -0.057451   -0.0025582     0.095963       0.7253 Curated_gene_sets:kegg_snare_interactions_in_vesicular_transport
Curated_gene_sets:kegg_regul...2         SET      25       0.1877    0.0069672      0.12738     0.070308 Curated_gene_sets:kegg_regulation_of_autophagy
Curated_gene_sets:kegg_lysos...          SET     115    -0.071578   -0.0056842     0.055848      0.90001 Curated_gene_sets:kegg_lysosome
Curated_gene_sets:kegg_endoc...          SET     173      0.03451    0.0033559     0.045509      0.22413 Curated_gene_sets:kegg_endocytosis
Curated_gene_sets:kegg_perox...          SET      76      0.10341     0.006683     0.071073     0.072848 Curated_gene_sets:kegg_peroxisome
Curated_gene_sets:kegg_mtor_...          SET      50      0.23336     0.012242     0.083028    0.0024747 Curated_gene_sets:kegg_mtor_signaling_pathway
Curated_gene_sets:kegg_apopt...          SET      80     0.025661    0.0017013     0.071162       0.3592 Curated_gene_sets:kegg_apoptosis
Curated_gene_sets:kegg_cardi...          SET      66     0.020954    0.0012623     0.074825      0.38972 Curated_gene_sets:kegg_cardiac_muscle_contraction
Curated_gene_sets:kegg_vascu...          SET     109    0.0049107   0.00037972     0.059647      0.46719 Curated_gene_sets:kegg_vascular_smooth_muscle_contraction
Curated_gene_sets:kegg_wnt_s...          SET     142     0.007649   0.00067447     0.053681      0.44335 Curated_gene_sets:kegg_wnt_signaling_pathway
Curated_gene_sets:kegg_dorso...          SET      24     -0.16712   -0.0060779      0.11809      0.92148 Curated_gene_sets:kegg_dorso_ventral_axis_formation
Curated_gene_sets:kegg_notch...          SET      47     -0.13105   -0.0066657     0.086298      0.93556 Curated_gene_sets:kegg_notch_signaling_pathway
Curated_gene_sets:kegg_hedge...          SET      55      0.08197    0.0045092     0.087244      0.17373 Curated_gene_sets:kegg_hedgehog_signaling_pathway
Curated_gene_sets:kegg_tgf_b...          SET      81     0.068836     0.004592     0.069213      0.15998 Curated_gene_sets:kegg_tgf_beta_signaling_pathway
Curated_gene_sets:kegg_axon_...          SET     124     0.049766    0.0041027     0.058226      0.19636 Curated_gene_sets:kegg_axon_guidance
Curated_gene_sets:kegg_vegf_...          SET      77     0.080881    0.0052612     0.067677      0.11603 Curated_gene_sets:kegg_vegf_signaling_pathway
Curated_gene_sets:kegg_focal...          SET     193    -0.052543   -0.0053937     0.045125      0.87786 Curated_gene_sets:kegg_focal_adhesion
Curated_gene_sets:kegg_ecm_r...          SET      83     -0.17037    -0.011504     0.068853      0.99332 Curated_gene_sets:kegg_ecm_receptor_interaction
Curated_gene_sets:kegg_cell_...1         SET     121      0.18068     0.014715     0.057429   0.00082853 Curated_gene_sets:kegg_cell_adhesion_molecules_cams
Curated_gene_sets:kegg_adher...          SET      71      0.05329    0.0033292     0.076574      0.24324 Curated_gene_sets:kegg_adherens_junction
Curated_gene_sets:kegg_tight...          SET     123     0.088873    0.0072974     0.054841     0.052564 Curated_gene_sets:kegg_tight_junction
Curated_gene_sets:kegg_gap_j...          SET      86    -0.074706   -0.0051344     0.065801      0.87187 Curated_gene_sets:kegg_gap_junction
Curated_gene_sets:kegg_compl...          SET      66     0.043082    0.0025953     0.080555      0.29639 Curated_gene_sets:kegg_complement_and_coagulation_cascades
Curated_gene_sets:kegg_antig...          SET      74     0.026738    0.0017052     0.073832      0.35862 Curated_gene_sets:kegg_antigen_processing_and_presentation
Curated_gene_sets:kegg_renin...          SET      16     -0.21689   -0.0064422      0.15653      0.91706 Curated_gene_sets:kegg_renin_angiotensin_system
Curated_gene_sets:kegg_toll_...          SET      90     0.052343    0.0036798     0.064931      0.21009 Curated_gene_sets:kegg_toll_like_receptor_signaling_pathway
Curated_gene_sets:kegg_nod_l...          SET      56     0.021199    0.0011767     0.087089      0.40384 Curated_gene_sets:kegg_nod_like_receptor_signaling_pathway
Curated_gene_sets:kegg_rig_i...          SET      55     0.048894    0.0026897     0.086549      0.28606 Curated_gene_sets:kegg_rig_i_like_receptor_signaling_pathway
Curated_gene_sets:kegg_cytos...          SET      42    0.0012066   5.8023e-05     0.099842      0.49518 Curated_gene_sets:kegg_cytosolic_dna_sensing_pathway
Curated_gene_sets:kegg_jak_s...          SET     135     -0.02786   -0.0023957     0.054748      0.69458 Curated_gene_sets:kegg_jak_stat_signaling_pathway
Curated_gene_sets:kegg_hemat...          SET      77    -0.095852   -0.0062351     0.073864      0.90279 Curated_gene_sets:kegg_hematopoietic_cell_lineage
Curated_gene_sets:kegg_natur...          SET     123    -0.039978   -0.0032825      0.05591       0.7627 Curated_gene_sets:kegg_natural_killer_cell_mediated_cytotoxicity
Curated_gene_sets:kegg_t_cel...          SET     105      0.03818     0.002898     0.059952      0.26212 Curated_gene_sets:kegg_t_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_b_cel...          SET      72    -0.027687   -0.0017418     0.069982      0.65381 Curated_gene_sets:kegg_b_cell_receptor_signaling_pathway
Curated_gene_sets:kegg_fc_ep...          SET      78    -0.011544  -0.00075578     0.066882      0.56852 Curated_gene_sets:kegg_fc_epsilon_ri_signaling_pathway
Curated_gene_sets:kegg_fc_ga...          SET      93    -0.059669   -0.0042638     0.062128      0.83157 Curated_gene_sets:kegg_fc_gamma_r_mediated_phagocytosis
Curated_gene_sets:kegg_leuko...          SET     106      0.00366   0.00027912     0.058944      0.47524 Curated_gene_sets:kegg_leukocyte_transendothelial_migration
Curated_gene_sets:kegg_intes...          SET      41       0.1368    0.0064997     0.096025     0.077148 Curated_gene_sets:kegg_intestinal_immune_network_for_iga_production
Curated_gene_sets:kegg_circa...          SET      13      0.48374     0.012952      0.17876    0.0034074 Curated_gene_sets:kegg_circadian_rhythm_mammal
Curated_gene_sets:kegg_long_...2         SET      64    0.0048592   0.00028828     0.077212      0.47491 Curated_gene_sets:kegg_long_term_potentiation
Curated_gene_sets:kegg_neuro...2         SET     119     0.028884    0.0023331     0.055854      0.30253 Curated_gene_sets:kegg_neurotrophin_signaling_pathway
Curated_gene_sets:kegg_long_...1         SET      68     -0.12722    -0.007779     0.073236      0.95881 Curated_gene_sets:kegg_long_term_depression
Curated_gene_sets:kegg_olfac...          SET     214      -0.1718     -0.01856     0.046449      0.99989 Curated_gene_sets:kegg_olfactory_transduction
Curated_gene_sets:kegg_taste...          SET      36     0.021735   0.00096785      0.10819      0.42039 Curated_gene_sets:kegg_taste_transduction
Curated_gene_sets:kegg_regul...1         SET     197     0.042164    0.0043725     0.044647      0.17249 Curated_gene_sets:kegg_regulation_of_actin_cytoskeleton
Curated_gene_sets:kegg_insul...          SET     128     0.068521    0.0057387     0.052015      0.09387 Curated_gene_sets:kegg_insulin_signaling_pathway
Curated_gene_sets:kegg_gnrh_...          SET      95    -0.013376  -0.00096597     0.064592      0.58203 Curated_gene_sets:kegg_gnrh_signaling_pathway
Curated_gene_sets:kegg_proge...          SET      80    -0.021147    -0.001402     0.066759      0.62428 Curated_gene_sets:kegg_progesterone_mediated_oocyte_maturation
Curated_gene_sets:kegg_melan...1         SET      96    -0.036342   -0.0026382     0.063652      0.71598 Curated_gene_sets:kegg_melanogenesis
Curated_gene_sets:kegg_adipo...          SET      63      0.12157    0.0071556      0.07776     0.058994 Curated_gene_sets:kegg_adipocytokine_signaling_pathway
Curated_gene_sets:kegg_type_...2         SET      44     0.070309    0.0034604       0.0918      0.22188 Curated_gene_sets:kegg_type_ii_diabetes_mellitus
Curated_gene_sets:kegg_type_...1         SET      41       0.2927     0.013907     0.095136    0.0010484 Curated_gene_sets:kegg_type_i_diabetes_mellitus
Curated_gene_sets:kegg_matur...          SET      24      -0.1091   -0.0039679      0.13511      0.79031 Curated_gene_sets:kegg_maturity_onset_diabetes_of_the_young
Curated_gene_sets:kegg_aldos...          SET      40    -0.069454   -0.0032596     0.097478      0.76192 Curated_gene_sets:kegg_aldosterone_regulated_sodium_reabsorption
Curated_gene_sets:kegg_vasop...          SET      41    -0.043427   -0.0020634     0.097326      0.67227 Curated_gene_sets:kegg_vasopressin_regulated_water_reabsorption
Curated_gene_sets:kegg_proxi...          SET      22     0.086925     0.003027      0.11784      0.23037 Curated_gene_sets:kegg_proximal_tubule_bicarbonate_reclamation
Curated_gene_sets:kegg_alzhe...          SET     149     -0.04508    -0.004071     0.049751      0.81755 Curated_gene_sets:kegg_alzheimers_disease
Curated_gene_sets:kegg_parki...          SET     106     0.055344    0.0042205     0.058717      0.17296 Curated_gene_sets:kegg_parkinsons_disease
Curated_gene_sets:kegg_amyot...          SET      51    -0.010938  -0.00057949     0.090023      0.54835 Curated_gene_sets:kegg_amyotrophic_lateral_sclerosis_als
Curated_gene_sets:kegg_hunti...          SET     167     0.006269   0.00059906     0.046077      0.44589 Curated_gene_sets:kegg_huntingtons_disease
Curated_gene_sets:kegg_prion...          SET      31     -0.03811   -0.0015749      0.10501      0.64166 Curated_gene_sets:kegg_prion_diseases
Curated_gene_sets:kegg_vibri...          SET      51   0.00011601   6.1458e-06     0.083339      0.49944 Curated_gene_sets:kegg_vibrio_cholerae_infection
Curated_gene_sets:kegg_epith...          SET      63     -0.04657   -0.0027412     0.073432      0.73702 Curated_gene_sets:kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection
Curated_gene_sets:kegg_patho...          SET      53     0.081423    0.0043971     0.086811      0.17414 Curated_gene_sets:kegg_pathogenic_escherichia_coli_infection
Curated_gene_sets:kegg_leish...          SET      66      0.12762    0.0076881     0.075984      0.04653 Curated_gene_sets:kegg_leishmania_infection
Curated_gene_sets:kegg_pathw...          SET     313      0.12512     0.016302     0.035231     0.000192 Curated_gene_sets:kegg_pathways_in_cancer
Curated_gene_sets:kegg_color...          SET      62      0.15787    0.0092189      0.07662     0.019684 Curated_gene_sets:kegg_colorectal_cancer
Curated_gene_sets:kegg_renal...          SET      68     0.054529    0.0033342      0.07252      0.22605 Curated_gene_sets:kegg_renal_cell_carcinoma
Curated_gene_sets:kegg_pancr...          SET      67      0.13398    0.0081318     0.073106     0.033437 Curated_gene_sets:kegg_pancreatic_cancer
Curated_gene_sets:kegg_endom...          SET      51     0.093738     0.004966     0.084416      0.13342 Curated_gene_sets:kegg_endometrial_cancer
Curated_gene_sets:kegg_glioma            SET      63     0.032546    0.0019157       0.0733      0.32852 Curated_gene_sets:kegg_glioma
Curated_gene_sets:kegg_prost...          SET      86      0.12463    0.0085653     0.064896     0.027412 Curated_gene_sets:kegg_prostate_cancer
Curated_gene_sets:kegg_thyro...          SET      29    -0.019302  -0.00077158     0.098955      0.57733 Curated_gene_sets:kegg_thyroid_cancer
Curated_gene_sets:kegg_basal...1         SET      53     0.046961    0.0025361     0.089491      0.29988 Curated_gene_sets:kegg_basal_cell_carcinoma
Curated_gene_sets:kegg_melan...2         SET      69      0.11446    0.0070498     0.073135     0.058793 Curated_gene_sets:kegg_melanoma
Curated_gene_sets:kegg_bladd...          SET      40     0.093786    0.0044016     0.094759      0.16116 Curated_gene_sets:kegg_bladder_cancer
Curated_gene_sets:kegg_chron...          SET      72      0.17624     0.011088     0.070499    0.0062151 Curated_gene_sets:kegg_chronic_myeloid_leukemia
Curated_gene_sets:kegg_acute...          SET      54      0.20913       0.0114     0.078929    0.0040326 Curated_gene_sets:kegg_acute_myeloid_leukemia
Curated_gene_sets:kegg_small...          SET      81      0.12188    0.0081305     0.069027     0.038734 Curated_gene_sets:kegg_small_cell_lung_cancer
Curated_gene_sets:kegg_non_s...          SET      54      0.08167    0.0044517     0.079072      0.15084 Curated_gene_sets:kegg_non_small_cell_lung_cancer
Curated_gene_sets:kegg_asthma            SET      26      0.22426    0.0084887      0.12053     0.031405 Curated_gene_sets:kegg_asthma
Curated_gene_sets:kegg_autoi...          SET      41     0.074534    0.0035414     0.094693      0.21561 Curated_gene_sets:kegg_autoimmune_thyroid_disease
Curated_gene_sets:kegg_syste...          SET      94     0.069168    0.0049689     0.066198      0.14805 Curated_gene_sets:kegg_systemic_lupus_erythematosus
Curated_gene_sets:kegg_allog...          SET      34      0.35329     0.015289      0.10681   0.00047125 Curated_gene_sets:kegg_allograft_rejection
Curated_gene_sets:kegg_graft...          SET      37      0.22684      0.01024      0.10433     0.014852 Curated_gene_sets:kegg_graft_versus_host_disease
Curated_gene_sets:kegg_prima...2         SET      31    -0.029465   -0.0012177      0.11114      0.60453 Curated_gene_sets:kegg_primary_immunodeficiency
Curated_gene_sets:kegg_hyper...          SET      82    -0.097469    -0.006542     0.071178      0.91455 Curated_gene_sets:kegg_hypertrophic_cardiomyopathy_hcm
Curated_gene_sets:kegg_arrhy...          SET      71    -0.059162   -0.0036961      0.07937      0.77198 Curated_gene_sets:kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc
Curated_gene_sets:kegg_dilat...          SET      87       -0.062   -0.0042858      0.06886      0.81604 Curated_gene_sets:kegg_dilated_cardiomyopathy
Curated_gene_sets:kegg_viral...          SET      66      0.24266     0.014618     0.077472   0.00086874 Curated_gene_sets:kegg_viral_myocarditis
