# TOTAL_GENES = 16725
# TEST_DIRECTION = one-sided, positive (set), one-sided, positive (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
# CONDITIONED_HIDDEN = Average (covar)
VARIABLE                             TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
Brain_Substantia_nigra              COVAR   16725   -0.0034256    -0.005853     0.006258      0.70794 Brain_Substantia_nigra
Breast_Mammary_Tissue               COVAR   16725    0.0026066    0.0049808    0.0091358       0.3877 Breast_Mammary_Tissue
Cells_Cultured_fibroblasts          COVAR   16725    0.0043149    0.0092129    0.0047687      0.18278 Cells_Cultured_fibroblasts
Cells_EBV-transformed_lympho...     COVAR   16725    0.0097767     0.021289    0.0035268    0.0027876 Cells_EBV-transformed_lymphocytes
Cervix_Ectocervix                   COVAR   16725    0.0075791     0.014766    0.0088409      0.19565 Cervix_Ectocervix
Cervix_Endocervix                   COVAR   16725    0.0021622    0.0042512    0.0084392       0.3989 Cervix_Endocervix
Colon_Sigmoid                       COVAR   16725    -0.010052    -0.019547    0.0090605      0.86638 Colon_Sigmoid
Colon_Transverse                    COVAR   16725    0.0043123    0.0078738    0.0085049      0.30607 Colon_Transverse
Esophagus_Gastroesophageal_J...     COVAR   16725    -0.021845    -0.042765    0.0092681      0.99078 Esophagus_Gastroesophageal_Junction
Esophagus_Mucosa                    COVAR   16725     0.015271     0.029355     0.005582    0.0031144 Esophagus_Mucosa
Esophagus_Muscularis                COVAR   16725    -0.019476    -0.038204    0.0089863      0.98489 Esophagus_Muscularis
Fallopian_Tube                      COVAR   16725    0.0040195    0.0077437    0.0085556      0.31925 Fallopian_Tube
Heart_Atrial_Appendage              COVAR   16725    -0.013433    -0.023982    0.0069529      0.97331 Heart_Atrial_Appendage
Heart_Left_Ventricle                COVAR   16725    -0.010331    -0.017147    0.0066787      0.93904 Heart_Left_Ventricle
Kidney_Cortex                       COVAR   16725    0.0042821    0.0074736    0.0066223      0.25895 Kidney_Cortex
Kidney_Medulla                      COVAR   16725    0.0022369    0.0041082    0.0067613      0.37039 Kidney_Medulla
Liver                               COVAR   16725    0.0085747     0.015364    0.0046438      0.03242 Liver
Lung                                COVAR   16725    0.0035795    0.0068689    0.0066469      0.29511 Lung
Minor_Salivary_Gland                COVAR   16725     0.015446     0.028562    0.0069973     0.013649 Minor_Salivary_Gland
Muscle_Skeletal                     COVAR   16725     0.003856    0.0072725    0.0050714      0.22353 Muscle_Skeletal
Nerve_Tibial                        COVAR   16725   -0.0069215    -0.013835    0.0073585      0.82654 Nerve_Tibial
Ovary                               COVAR   16725    0.0053471     0.010776    0.0070211      0.22316 Ovary
Pancreas                            COVAR   16725    0.0043516    0.0072314    0.0062201      0.24209 Pancreas
Pituitary                           COVAR   16725    -0.012907    -0.023882    0.0065634      0.97538 Pituitary
Prostate                            COVAR   16725     0.020724     0.039047    0.0087606    0.0090056 Prostate
Skin_Not_Sun_Exposed_Suprapu...     COVAR   16725    0.0074604     0.014315    0.0056281     0.092505 Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg          COVAR   16725    0.0046654    0.0090036    0.0056412      0.20412 Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ile...     COVAR   16725     0.001398    0.0025519    0.0070081      0.42095 Small_Intestine_Terminal_Ileum
Spleen                              COVAR   16725   -0.0026813   -0.0052804    0.0053405      0.69219 Spleen
Stomach                             COVAR   16725   0.00087979    0.0015882    0.0087976      0.46017 Stomach
Testis                              COVAR   16725    0.0092377     0.015817    0.0041029     0.012183 Testis
Thyroid                             COVAR   16725  -0.00097845   -0.0019241    0.0070528      0.55517 Thyroid
Uterus                              COVAR   16725     -0.00419   -0.0084854    0.0079807      0.70021 Uterus
Vagina                              COVAR   16725     0.019036     0.036159     0.008052     0.009043 Vagina
Whole_Blood                         COVAR   16725     0.003525    0.0063523    0.0040722      0.19335 Whole_Blood
