GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	P	SYMBOL
ENSG00000149527	1	2357419	2436969	61	31	54850040	4.5254	3.0143e-06	PLCH2
ENSG00000157881	1	2439972	2458039	19	5	54850040	2.222	0.013142	PANK4
ENSG00000197921	1	2460184	2461684	3	2	54850040	3.2159	0.00065009	HES5
ENSG00000157873	1	2487078	2496821	7	4	54850040	2.8008	0.0025484	TNFRSF14
ENSG00000157870	1	2517930	2522908	2	1	54850040	2.0717	0.019146	FAM213B
ENSG00000142606	1	2522078	2564481	19	13	54850040	4.5782	2.3447e-06	MMEL1
ENSG00000215912	1	2567415	2718286	52	30	54850040	5.1783	1.1194e-07	TTC34
ENSG00000169717	1	2938046	2939465	1	1	54850040	1.3459	0.089174	ACTRT2
ENSG00000142611	1	2985732	3355185	292	113	54850040	7.7751	3.7693e-15	PRDM16
ENSG00000130762	1	3370990	3397677	20	13	54850040	4.7401	1.0681e-06	ARHGEF16
ENSG00000162591	1	3406484	3528059	73	41	54850040	5.5955	1.0997e-08	MEGF6
ENSG00000158109	1	3541566	3546691	5	3	54850040	3.9206	4.4157e-05	TPRG1L
ENSG00000116213	1	3547331	3569325	24	11	54850040	4.3086	8.2162e-06	WRAP73
ENSG00000078900	1	3569084	3652765	138	26	54850040	4.3621	6.4398e-06	TP73
ENSG00000162592	1	3668962	3688209	24	13	54850040	5.3868	3.5871e-08	CCDC27
ENSG00000235169	1	3689352	3692546	6	2	54850040	2.8913	0.0019185	SMIM1
ENSG00000130764	1	3696784	3713068	15	5	54850040	3.0226	0.0012531	LRRC47
ENSG00000116198	1	3728645	3773778	38	10	54850040	3.3571	0.00039386	CEP104
ENSG00000169598	1	3773845	3801993	41	11	54850040	3.0483	0.0011508	DFFB
ENSG00000198912	1	3805689	3816857	9	3	54850040	1.7772	0.037768	C1orf174
ENSG00000196581	1	4714792	4852594	91	40	54850040	5.0767	1.92e-07	AJAP1
ENSG00000131697	1	5922871	6052533	66	39	54850040	6.5312	3.2616e-11	NPHP4
ENSG00000069424	1	6051526	6161253	67	28	54850040	4.1523	1.6459e-05	KCNAB2
ENSG00000116254	1	6161853	6240183	57	34	54850040	5.1623	1.2196e-07	CHD5
ENSG00000116251	1	6241329	6269449	16	9	54850040	3.5833	0.00016961	RPL22
ENSG00000158286	1	6265535	6281359	5	3	54850040	3.4312	0.0003005	RNF207
ENSG00000116237	1	6281253	6296032	9	5	54850040	3.3307	0.00043312	ICMT
ENSG00000173673	1	6304252	6305638	1	1	54850040	2.7652	0.0028441	HES3
ENSG00000158292	1	6307406	6321035	3	2	54850040	2.4341	0.007464	GPR153
ENSG00000097021	1	6324329	6454451	159	19	54850040	3.0553	0.0011243	ACOT7
ENSG00000069812	1	6472478	6484730	6	3	54850040	3.0058	0.0013245	HES2
ENSG00000187017	1	6484848	6521430	17	8	54850040	3.1279	0.00088016	ESPN
ENSG00000215788	1	6521211	6526255	1	1	54850040	1.48	0.069442	TNFRSF25
ENSG00000171680	1	6526152	6580121	23	17	54850040	5.8278	2.8076e-09	PLEKHG5
ENSG00000162408	1	6581407	6614595	15	11	54850040	5.1507	1.2976e-07	NOL9
ENSG00000173662	1	6615241	6639817	11	8	54850040	4.9769	3.2307e-07	TAS1R1
ENSG00000204859	1	6640061	6649340	4	2	54850040	2.8195	0.0024049	ZBTB48
ENSG00000162413	1	6650784	6674667	21	13	54850040	5.019	2.5975e-07	KLHL21
ENSG00000116273	1	6673745	6684093	5	3	54850040	2.8637	0.0020936	PHF13
ENSG00000041988	1	6684926	6695646	2	1	54850040	2.5286	0.0057265	THAP3
ENSG00000007923	1	6694228	6761984	38	25	54850040	6.433	6.256e-11	DNAJC11
ENSG00000171735	1	6845384	7829766	572	185	54850040	10.052	4.4914e-24	CAMTA1
ENSG00000049245	1	7831329	7841492	8	5	54850040	3.3092	0.00046779	VAMP3
ENSG00000049246	1	7844380	7905237	55	9	54850040	2.934	0.0016729	PER3
ENSG00000049247	1	7903143	7913572	7	4	54850040	2.6837	0.0036407	UTS2
ENSG00000049249	1	7979907	8000926	8	6	54850040	3.4114	0.00032311	TNFRSF9
ENSG00000116288	1	8014351	8045565	12	8	54850040	4.9473	3.7619e-07	PARK7
ENSG00000116285	1	8064464	8086368	9	6	54850040	3.5765	0.00017409	ERRFI1
ENSG00000162426	1	8377886	8404227	40	7	54850040	2.9539	0.0015689	SLC45A1
ENSG00000142599	1	8412457	8877702	382	26	54850040	3.5713	0.00017758	RERE
ENSG00000074800	1	8921061	8939308	22	5	54850040	2.9862	0.0014123	ENO1
ENSG00000131686	1	9005926	9035151	32	7	54850040	2.9345	0.0016702	CA6
ENSG00000197241	1	9063359	9086404	19	14	54850040	5.6402	8.492e-09	SLC2A7
ENSG00000142583	1	9095166	9148537	71	10	54850040	2.7413	0.0030599	SLC2A5
ENSG00000180758	1	9160364	9189229	32	6	54850040	2.947	0.0016043	GPR157
ENSG00000049239	1	9294834	9331396	15	11	54850040	4.6898	1.3676e-06	H6PD
ENSG00000171621	1	9352939	9429591	66	28	54850040	4.3994	5.4276e-06	SPSB1
ENSG00000171612	1	9599541	9645237	19	12	54850040	4.6817	1.4227e-06	SLC25A33
ENSG00000188807	1	9648932	9674935	18	12	54850040	5.1996	9.9834e-08	TMEM201
ENSG00000171608	1	9711790	9789172	45	23	54850040	4.5535	2.6385e-06	PIK3CD
ENSG00000179840	1	9712668	9714644	2	1	54850040	1.7096	0.043667	C1orf200
ENSG00000171603	1	9789084	9884584	51	27	54850040	4.5576	2.5869e-06	CLSTN1
ENSG00000178585	1	9908334	9970394	33	19	54850040	5.5512	1.4187e-08	CTNNBIP1
ENSG00000162441	1	9982173	10003465	16	11	54850040	5.2043	9.7361e-08	LZIC
ENSG00000173614	1	10003486	10045559	17	13	54850040	6.0205	8.6961e-10	NMNAT1
ENSG00000162444	1	10057264	10076078	8	6	54850040	4.0444	2.6227e-05	RBP7
ENSG00000130939	1	10092890	10241297	79	52	54850040	7.3384	1.0808e-13	UBE4B
ENSG00000054523	1	10270863	10441661	115	11	54850040	2.1359	0.016345	KIF1B
ENSG00000142657	1	10458649	10480201	16	8	54850040	2.6729	0.0037603	PGD
ENSG00000251503	1	10490159	10512210	48	5	54850040	2.845	0.0022203	APITD1-CORT
ENSG00000175279	1	10490159	10512210	48	5	54850040	2.845	0.0022203	APITD1
ENSG00000241563	1	10509776	10511959	2	1	54850040	2.8006	0.0025504	CORT
ENSG00000160049	1	10516579	10532583	13	6	54850040	3.5802	0.00017169	DFFA
ENSG00000142655	1	10532345	10690815	87	38	54850040	4.8385	6.54e-07	PEX14
ENSG00000130940	1	10696661	10856707	128	41	54850040	4.2834	9.2018e-06	CASZ1
ENSG00000175262	1	11006528	11042094	23	16	54850040	4.8204	7.1632e-07	C1orf127
ENSG00000120948	1	11072414	11085796	3	2	54850040	2.2142	0.013409	TARDBP
ENSG00000009724	1	11086580	11107290	17	11	54850040	4.4141	5.0724e-06	MASP2
ENSG00000116649	1	11114641	11120081	1	1	54850040	1.4746	0.070155	SRM
ENSG00000171824	1	11126675	11159938	35	5	54850040	2.1202	0.016996	EXOSC10
ENSG00000198793	1	11166592	11322564	169	10	54850040	2.4089	0.0079996	MTOR
ENSG00000171819	1	11249398	11256038	7	5	54850040	3.3834	0.00035799	ANGPTL7
ENSG00000120942	1	11333263	11356106	15	8	54850040	4.193	1.3767e-05	UBIAD1
ENSG00000204624	1	11539223	11597641	19	14	54850040	4.4982	3.4271e-06	PTCHD2
ENSG00000116661	1	11708424	11715842	4	2	54850040	2.0798	0.01877	FBXO2
ENSG00000132879	1	11714432	11723384	6	1	54850040	1.497	0.067196	FBXO44
ENSG00000116663	1	11724181	11734411	15	6	54850040	3.2217	0.00063726	FBXO6
ENSG00000116670	1	11734537	11751707	8	4	54850040	2.434	0.0074658	MAD2L2
ENSG00000162490	1	11751786	11785914	13	10	54850040	5.4179	3.0148e-08	DRAXIN
ENSG00000177674	1	11796141	11814859	8	6	54850040	4.5972	2.1406e-06	AGTRAP
ENSG00000215910	1	11821844	11849642	14	7	54850040	3.3518	0.0004015	C1orf167
ENSG00000177000	1	11845780	11866977	9	5	54850040	3.9119	4.5787e-05	MTHFR
ENSG00000011021	1	11866207	11903201	26	10	54850040	3.0897	0.0010019	CLCN6
ENSG00000175206	1	11905766	11908402	2	1	54850040	1.6628	0.048177	NPPA
ENSG00000120937	1	11917521	11918988	2	1	54850040	1.9886	0.023373	NPPB
ENSG00000116685	1	11979648	11986485	6	4	54850040	4.0244	2.8566e-05	KIAA2013
ENSG00000083444	1	11994262	12035595	31	12	54850040	3.1851	0.00072365	PLOD1
ENSG00000116688	1	12040238	12073571	16	12	54850040	5.0031	2.8205e-07	MFN2
ENSG00000116691	1	12079523	12092102	10	7	54850040	5.1437	1.3472e-07	MIIP
ENSG00000120949	1	12123434	12204264	46	27	54850040	5.435	2.7402e-08	TNFRSF8
ENSG00000028137	1	12227060	12269285	45	18	54850040	3.6299	0.00014177	TNFRSF1B
ENSG00000048707	1	12290124	12572099	162	43	54850040	4.8701	5.5764e-07	VPS13D
ENSG00000162496	1	12627939	12677737	28	17	54850040	4.9354	3.9998e-07	DHRS3
ENSG00000204518	1	12704566	12727097	16	10	54850040	4.0191	2.921e-05	AADACL4
ENSG00000188984	1	12776118	12788726	14	5	54850040	2.2049	0.013732	AADACL3
ENSG00000157330	1	12806163	12823847	30	5	54850040	2.5361	0.0056051	C1orf158
ENSG00000116726	1	12834984	12838049	8	3	54850040	2.572	0.0050555	PRAMEF12
ENSG00000116721	1	12851546	12856777	35	9	54850040	3.4948	0.00023723	PRAMEF1
ENSG00000204513	1	12884468	12891264	14	8	54850040	3.9285	4.273e-05	PRAMEF11
ENSG00000179172	1	12907261	12908578	1	1	54850040	1.577	0.057396	HNRNPCL1
ENSG00000120952	1	12916941	12921764	9	5	54850040	2.8597	0.00212	PRAMEF2
ENSG00000243073	1	12939045	12946025	13	5	54850040	3.3027	0.00047885	PRAMEF4
ENSG00000187545	1	12952727	12958101	4	2	54850040	2.9942	0.0013759	PRAMEF10
ENSG00000232423	1	12998181	13117751	8	4	54850040	3.2054	0.00067435	PRAMEF6
ENSG00000229571	1	13216356	13219581	1	1	54850040	1.4683	0.071007	PRAMEF26
ENSG00000204481	1	13668269	13673511	1	1	54850040	1.3743	0.084672	PRAMEF14
ENSG00000204480	1	13694889	13698405	2	1	54850040	1.522	0.064002	PRAMEF19
ENSG00000204479	1	13716092	13719089	3	2	54850040	2.5532	0.0053375	PRAMEF17
ENSG00000204478	1	13736907	13747803	2	1	54850040	2.6742	0.0037456	PRAMEF20
ENSG00000162494	1	13801445	13840543	18	13	54850040	5.3898	3.5262e-08	LRRC38
ENSG00000162493	1	13909960	13944452	20	10	54850040	3.2292	0.00062075	PDPN
ENSG00000116731	1	14026693	14151574	47	28	54850040	5.7643	4.0996e-09	PRDM2
ENSG00000189337	1	14925200	15444539	319	110	54850040	7.4691	4.0381e-14	KAZN
ENSG00000171729	1	15479028	15546976	31	21	54850040	5.0738	1.9496e-07	TMEM51
ENSG00000204464	1	15490840	15497813	4	2	54850040	2.0157	0.021914	C1orf195
ENSG00000142621	1	15573768	15726779	79	36	54850040	4.7221	1.167e-06	FHAD1
ENSG00000142634	1	15736391	15756839	14	8	54850040	3.6773	0.00011786	EFHD2
ENSG00000162438	1	15764935	15775737	4	2	54850040	3.7979	7.2961e-05	CTRC
ENSG00000142615	1	15783223	15798586	11	6	54850040	2.995	0.0013721	CELA2A
ENSG00000215704	1	15792404	15817895	13	8	54850040	5.0798	1.889e-07	CELA2B
ENSG00000132906	1	15817327	15853029	15	11	54850040	6.0638	6.6469e-10	CASP9
ENSG00000116138	1	15853308	15918874	20	14	54850040	6.0202	8.7104e-10	DNAJC16
ENSG00000116771	1	15898848	15911605	4	2	54850040	3.2279	0.00062354	AGMAT
ENSG00000197312	1	15943995	15995539	14	10	54850040	5.995	1.0173e-09	DDI2
ENSG00000116786	1	16010827	16061264	20	13	54850040	4.8073	7.6486e-07	PLEKHM2
ENSG00000162461	1	16062900	16067891	2	1	54850040	2.9096	0.0018095	SLC25A34
ENSG00000162460	1	16068917	16074477	6	4	54850040	2.9183	0.0017595	TMEM82
ENSG00000162458	1	16083102	16113089	10	7	54850040	3.6135	0.00015106	FBLIM1
ENSG00000065526	1	16174359	16266955	56	15	54850040	3.4914	0.00024021	SPEN
ENSG00000116809	1	16268364	16302627	23	11	54850040	4.0282	2.8107e-05	ZBTB17
ENSG00000183888	1	16330731	16335302	3	2	54850040	2.4975	0.0062536	C1orf64
ENSG00000173641	1	16340523	16346089	33	3	54850040	1.8285	0.033738	HSPB7
ENSG00000186510	1	16345370	16360545	23	7	54850040	2.7715	0.0027903	CLCNKA
ENSG00000184908	1	16370272	16383803	7	4	54850040	3.7164	0.00010103	CLCNKB
ENSG00000185519	1	16384264	16400127	8	5	54850040	3.7363	9.3372e-05	FAM131C
ENSG00000142627	1	16450832	16482582	11	7	54850040	3.4549	0.00027527	EPHA2
ENSG00000142632	1	16524349	16539104	6	4	54850040	3.0116	0.0012995	ARHGEF19
ENSG00000132881	1	16558195	16563657	5	3	54850040	3.519	0.00021655	RSG1
ENSG00000037637	1	16573334	16678949	34	25	54850040	6.7164	9.3109e-12	FBXO42
ENSG00000055070	1	16679070	16724640	15	9	54850040	3.8737	5.3607e-05	SZRD1
ENSG00000187144	1	16713612	16763919	16	12	54850040	5.1801	1.1091e-07	SPATA21
ENSG00000157191	1	16767167	16786573	4	2	54850040	2.4497	0.007148	NECAP2
ENSG00000268674	1	16865561	16866070	1	1	54850040	1.5042	0.066269	FAM231B
ENSG00000219481	1	16888814	16940057	31	19	54850040	4.418	4.9811e-06	NBPF1
ENSG00000058453	1	17066768	17299474	100	53	54850040	5.3583	4.2e-08	CROCC
ENSG00000117122	1	17300997	17307330	1	1	54850040	2.1774	0.014727	MFAP2
ENSG00000159363	1	17312453	17338423	10	6	54850040	3.8173	6.7454e-05	ATP13A2
ENSG00000117118	1	17345217	17380665	14	7	54850040	3.1648	0.00077597	SDHB
ENSG00000117115	1	17393256	17445948	31	17	54850040	4.0385	2.6893e-05	PADI2
ENSG00000142623	1	17531621	17572500	19	13	54850040	4.7595	9.7037e-07	PADI1
ENSG00000142619	1	17575593	17610728	18	10	54850040	3.705	0.0001057	PADI3
ENSG00000159339	1	17634690	17690499	37	23	54850040	5.1582	1.2465e-07	PADI4
ENSG00000269468	1	17655507	17676070	18	11	54850040	4.6069	2.044e-06	AC004824.2
ENSG00000179051	1	17733256	17766220	26	8	54850040	2.806	0.0025081	RCC2
ENSG00000074964	1	17866330	18024369	94	63	54850040	7.4375	5.1292e-14	ARHGEF10L
ENSG00000117148	1	18081808	18153558	39	25	54850040	5.3283	4.9578e-08	ACTL8
ENSG00000117154	1	18434240	18704977	193	65	54850040	5.9978	1e-09	IGSF21
ENSG00000179023	1	18807424	18812478	3	2	54850040	4.0148	2.9745e-05	KLHDC7A
ENSG00000009709	1	18957500	19075360	70	34	54850040	4.9282	4.1501e-07	PAX7
ENSG00000179002	1	19166093	19186176	25	10	54850040	3.299	0.00048514	TAS1R2
ENSG00000255275	1	19175767	19247615	49	36	54850040	7.2158	2.6806e-13	RP13-279N23.2
ENSG00000159423	1	19197926	19229275	14	10	54850040	5.3939	3.4477e-08	ALDH4A1
ENSG00000169991	1	19230775	19283180	31	23	54850040	6.1627	3.5755e-10	IFFO2
ENSG00000127481	1	19401000	19536770	55	32	54850040	5.7558	4.3106e-09	UBR4
ENSG00000127463	1	19542158	19578046	18	13	54850040	5.2816	6.4032e-08	EMC1
ENSG00000053372	1	19578033	19586622	4	2	54850040	2.9084	0.0018165	MRTO4
ENSG00000162482	1	19609052	19615744	6	3	54850040	2.6993	0.0034747	AKR7A3
ENSG00000053371	1	19630459	19638640	8	5	54850040	3.6006	0.00015877	AKR7A2
ENSG00000040487	1	19638820	19655794	11	5	54850040	3.0275	0.0012328	PQLC2
ENSG00000077549	1	19665267	19812066	57	38	54850040	6.4885	4.3335e-11	CAPZB
ENSG00000270136	1	19923473	19984549	41	19	54850040	3.7777	7.9146e-05	MINOS1-NBL1
ENSG00000173436	1	19923477	19956314	10	6	54850040	4.2309	1.1637e-05	MINOS1
ENSG00000158747	1	19967048	19984945	25	9	54850040	2.6968	0.0035	NBL1
ENSG00000158748	1	19991780	20006055	7	3	54850040	2.1815	0.014574	HTR6
ENSG00000162542	1	20008706	20126438	76	38	54850040	4.7359	1.0905e-06	TMCO4
ENSG00000178828	1	20140523	20141771	1	1	54850040	1.4043	0.08012	RNF186
ENSG00000169914	1	20209006	20239438	8	5	54850040	3.4518	0.00027842	OTUD3
ENSG00000188784	1	20246502	20250110	2	1	54850040	2.3808	0.008637	PLA2G2E
ENSG00000188257	1	20301925	20306932	7	2	54850040	2.7891	0.0026431	PLA2G2A
ENSG00000127472	1	20354672	20417683	49	13	54850040	3.2797	0.00051964	PLA2G5
ENSG00000117215	1	20438432	20446050	6	4	54850040	3.7174	0.00010063	PLA2G2D
ENSG00000158786	1	20465819	20476879	6	4	54850040	4.2729	9.6473e-06	PLA2G2F
ENSG00000187980	1	20487746	20503917	11	8	54850040	4.9557	3.6036e-07	PLA2G2C
ENSG00000162543	1	20512578	20522541	3	2	54850040	2.7019	0.003447	UBXN10
ENSG00000158816	1	20617412	20681387	43	25	54850040	5.3263	5.0115e-08	VWA5B1
ENSG00000162545	1	20808884	20812713	3	1	54850040	1.5919	0.055698	CAMK2N1
ENSG00000090432	1	20825943	20834654	3	2	54850040	2.8741	0.0020262	MUL1
ENSG00000183114	1	20878932	20881512	1	1	54850040	1.4601	0.072136	FAM43B
ENSG00000158825	1	20915441	20945401	10	7	54850040	4.2139	1.2551e-05	CDA
ENSG00000158828	1	20959948	20978004	7	4	54850040	3.7206	9.9376e-05	PINK1
ENSG00000244038	1	20978270	20988000	3	2	54850040	2.5235	0.0058095	DDOST
ENSG00000117245	1	20990507	21044510	49	16	54850040	3.7676	8.2422e-05	KIF17
ENSG00000189410	1	21046225	21059330	18	4	54850040	2.5958	0.0047192	SH2D5
ENSG00000127483	1	21069154	21113816	55	6	54850040	3.1888	0.00071426	HP1BP3
ENSG00000075151	1	21132963	21503377	440	8	54850040	2.5706	0.0050755	EIF4G3
ENSG00000117298	1	21543740	21671997	70	20	54850040	3.4994	0.00023312	ECE1
ENSG00000142794	1	21766621	21811498	56	6	54850040	1.9995	0.022779	NBPF3
ENSG00000162551	1	21835858	21904905	71	13	54850040	3.1129	0.00092627	ALPL
ENSG00000076864	1	21922708	21995801	58	14	54850040	4.5548	2.6215e-06	RAP1GAP
ENSG00000090686	1	22004791	22110099	41	21	54850040	4.2805	9.3221e-06	USP48
ENSG00000187942	1	22138758	22151714	7	5	54850040	3.4284	0.00030361	LDLRAD2
ENSG00000142798	1	22148738	22263790	57	16	54850040	3.047	0.0011556	HSPG2
ENSG00000219073	1	22303514	22325135	61	7	54850040	2.4591	0.0069642	CELA3B
ENSG00000142789	1	22328149	22339032	32	4	54850040	2.0108	0.022173	CELA3A
ENSG00000070831	1	22379120	22419437	15	10	54850040	4.3738	6.1057e-06	CDC42
ENSG00000162552	1	22443798	22470462	15	8	54850040	4.4268	4.7812e-06	WNT4
ENSG00000184677	1	22778344	22857650	31	20	54850040	5.8946	1.8779e-09	ZBTB40
ENSG00000070886	1	22890057	22930087	31	9	54850040	2.6847	0.0036298	EPHA8
ENSG00000173372	1	22962999	22966101	1	1	54850040	1.4461	0.07408	C1QA
ENSG00000173369	1	22979255	22988031	3	1	54850040	2.4398	0.0073469	C1QB
ENSG00000133216	1	23037332	23241818	93	62	54850040	7.7866	3.4417e-15	EPHB2
ENSG00000215906	1	23279536	23291831	10	3	54850040	1.9384	0.026286	LACTBL1
ENSG00000004487	1	23345941	23410182	13	9	54850040	3.9018	4.7749e-05	KDM1A
ENSG00000169641	1	23410516	23504301	63	5	54850040	2.3617	0.0090967	LUZP1
ENSG00000179546	1	23516993	23521222	1	1	54850040	2.4442	0.0072579	HTR1D
ENSG00000125944	1	23630264	23670829	10	7	54850040	3.7772	7.9288e-05	HNRNPR
ENSG00000125945	1	23685941	23695935	17	4	54850040	2.2092	0.013581	ZNF436
ENSG00000204219	1	23707554	23751233	21	9	54850040	3.085	0.0010177	TCEA3
ENSG00000088280	1	23755056	23811061	27	7	54850040	2.597	0.0047026	ASAP3
ENSG00000007968	1	23832922	23857712	4	2	54850040	2.8081	0.0024921	E2F2
ENSG00000197880	1	23907985	23967058	29	20	54850040	5.7101	5.6441e-09	MDS2
ENSG00000142676	1	24018269	24022915	1	1	54850040	2.6694	0.003799	RPL11
ENSG00000011007	1	24069645	24088549	8	4	54850040	3.4209	0.00031206	TCEB3
ENSG00000057757	1	24104895	24114722	5	3	54850040	3.2599	0.00055724	PITHD1
ENSG00000011009	1	24117460	24122029	1	1	54850040	1.3313	0.091548	LYPLA2
ENSG00000117308	1	24122089	24127271	3	2	54850040	3.173	0.00075426	GALE
ENSG00000117305	1	24128375	24165110	9	6	54850040	4.6349	1.786e-06	HMGCL
ENSG00000179163	1	24171567	24194784	13	9	54850040	4.6781	1.4477e-06	FUCA1
ENSG00000188822	1	24197016	24285549	98	8	54850040	2.3898	0.0084284	CNR2
ENSG00000189266	1	24285599	24289952	1	1	54850040	1.3472	0.088963	PNRC2
ENSG00000188529	1	24291294	24307417	3	1	54850040	2.5434	0.0054896	SRSF10
ENSG00000142661	1	24382525	24438665	41	11	54850040	3.4375	0.00029352	MYOM3
ENSG00000142677	1	24446261	24469611	11	7	54850040	3.9064	4.6842e-05	IL22RA1
ENSG00000185436	1	24480647	24514449	20	5	54850040	2.3412	0.0096113	IFNLR1
ENSG00000158055	1	24645812	24690972	26	19	54850040	5.8351	2.6884e-09	GRHL3
ENSG00000001460	1	24683489	24743424	25	16	54850040	5.4922	1.9847e-08	STPG1
ENSG00000001461	1	24742284	24799466	22	12	54850040	4.5124	3.2046e-06	NIPAL3
ENSG00000117602	1	24829387	24867530	61	7	54850040	2.707	0.0033943	RCAN3
ENSG00000184454	1	24882602	24935819	25	13	54850040	3.3854	0.00035537	NCMAP
ENSG00000133226	1	24958207	24999758	20	15	54850040	5.6427	8.3715e-09	SRRM1
ENSG00000169504	1	25071848	25170815	34	23	54850040	5.0654	2.0382e-07	CLIC4
ENSG00000020633	1	25226002	25291612	33	20	54850040	4.582	2.3031e-06	RUNX3
ENSG00000117614	1	25549170	25558993	4	2	54850040	3.6287	0.00014244	SYF2
ENSG00000117616	1	25568728	25664704	39	25	54850040	5.2988	5.8283e-08	C1orf63
ENSG00000187010	1	25598884	25656936	25	15	54850040	4.3657	6.3372e-06	RHD
ENSG00000183726	1	25664408	25688852	17	12	54850040	5.2947	5.9605e-08	TMEM50A
