Category	GeneSet	N_genes	N_overlap	p	adjP	genes	link
GO_bp	GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	619	14	8.99871365828928e-06	0.005511712115702183	ASCL2:KRT8:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:SPINT2:STMN3:SKIL:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING
GO_bp	GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	1159	19	2.0856766323554643e-05	0.01099334897185062	ASCL2:HNF1B:SKAP1:HOXB1:HOXB2:HOXB3:HOXB4:HOXB7:NGFR:DPF1:OTX1:ITGA6:POU1F1:TET2:TERT:RFX6:BHLHA15:NKX3-1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II
GO_bp	GO_REGIONALIZATION	340	10	2.0939712327334515e-05	0.01099334897185062	HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:OTX1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGIONALIZATION
GO_bp	GO_PATTERN_SPECIFICATION_PROCESS	434	11	3.149729207095676e-05	0.015433673114768813	HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:OTX1:IRX4:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PATTERN_SPECIFICATION_PROCESS
GO_bp	GO_SKELETAL_SYSTEM_MORPHOGENESIS	237	8	5.5762885018623015e-05	0.02555279298177385	HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:PHOSPHO1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SKELETAL_SYSTEM_MORPHOGENESIS
GO_bp	GO_POSITIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION	14	3	5.910169805308238e-05	0.02555279298177385	PRKCI:LYN:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_POSITIVE_REGULATION_OF_GLIAL_CELL_PROLIFERATION
GWAScatalog	Prostate cancer	302	51	8.18134676604808e-64	1.4849144380377267e-60	PIK3C2B:MDM4:LRRN2:MSMB:TH:KRT8:VPS53:FAM57A:HNF1B:PRAC1:HOXB13:B4GALNT2:PHOSPHO1:NGFR:SPOP:KLK3:EHBP1:GGCX:VAMP8:VAMP5:RNF181:ITGA6:GMEB2:STMN3:RTEL1:RTEL1-TNFRSF6B:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46:BIK:WDR52:SPICE1:SIDT1:PRKCI:SKIL:CLDN11:PDLIM5:TET2:TERT:IRX4:FOXP4:GPRC6A:RFX6:SLC22A1:JAZF1:LMTK2:NKX3-1:POU5F1B	
GWAScatalog	Prostate-specific antigen levels	43	8	9.010425344170714e-11	8.176960999834924e-08	MSMB:HNF1B:KLK15:KLK3:KLK2:TERT:JAZF1:NKX3-1	
GWAScatalog	Serum prostate-specific antigen levels	7	4	3.1882048485957674e-08	1.9288639334004394e-05	MSMB:HNF1B:KLK3:TERT	
GWAScatalog	Regular attendance at a religious group	70	7	1.2551117688111035e-07	5.695069650980383e-05	PIK3C2B:MDM4:LRRN2:EHBP1:OTX1:WDPCP:TET2	
GWAScatalog	Asthma or allergic disease (pleiotropy)	150	9	1.6335186242704926e-07	5.929672606101888e-05	STMN3:RTEL1:RTEL1-TNFRSF6B:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46	
GWAScatalog	Prostate cancer (early onset)	13	4	6.346717722893678e-07	0.00019198821111753375	MSMB:TH:HNF1B:KLK3	
GWAScatalog	Type 2 diabetes	438	12	6.169080523694576e-06	0.0015995544500722364	TH:ASCL2:CCND1:HNF1B:CALCOCO2:ATP5G1:UBE2Z:SNF8:JADE2:JAZF1:CSMD1:TMEM75	
GWAScatalog	Glioma	23	4	7.528829683599403e-06	0.0017081032344666146	MDM4:RTEL1:TNFRSF6B:TERT	
GWAScatalog	Allergic disease (asthma, hay fever or eczema)	258	9	1.449747038504481e-05	0.0029236565276507032	STMN3:RTEL1:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46:JAZF1	
GWAScatalog	Breast cancer	202	8	1.7860411182873593e-05	0.003241664629691557	PIK3C2B:MDM4:LRRN2:CCND1:ORAOV1:FGF19:TET2:TERT	
GWAScatalog	Ulcerative colitis	362	10	3.5697131395746904e-05	0.005890026680298239	STMN3:RTEL1:RTEL1-TNFRSF6B:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46:NKX3-1	
GWAScatalog	Cancer (pleiotropy)	15	3	7.3576810445644e-05	0.011128492579903655	KRT8:HNF1B:TERT	
GWAScatalog	Coronary artery disease	418	10	0.00011808480379441875	0.016486455298990003	EFCAB13:B4GALNT2:EHBP1:MAT2A:GGCX:VAMP8:VAMP5:ZBTB46:PDLIM5:XKR4	
GWAScatalog	EGFR mutation-positive lung adenocarcinoma	4	2	0.00018437717074283925	0.023808526987958826	TERT:FOXP4	
GWAScatalog	Cutaneous malignant melanoma	21	3	0.00020988233157429267	0.023808526987958826	CCND1:WDPCP:RTEL1	
GWAScatalog	Non-glioblastoma glioma	21	3	0.00020988233157429267	0.023808526987958826	MDM4:RTEL1:TERT	
GWAScatalog	Inflammatory bowel disease	637	12	0.00023051335624700974	0.02461069068166604	STMN3:RTEL1:RTEL1-TNFRSF6B:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46:FAM162B:GPRC6A:RFX6	
GWAScatalog	Myocardial infarction	55	4	0.0002527486419191465	0.025485488060180604	UBE2Z:GGCX:VAMP8:VAMP5	
GWAScatalog	Prostate cancer (SNP x SNP interaction)	5	2	0.0003061723690117292	0.029247518408225714	TH:BIK	
GWAScatalog	Epithelial ovarian cancer	25	3	0.0003571003278036622	0.03086367118874509	HNF1B:SKAP1:TERT	
GWAScatalog	Generalized epilepsy	25	3	0.0003571003278036622	0.03086367118874509	COPZ2:SNX11:SKAP1	
GWAScatalog	Response to simvastatin treatment (PCSK9 protein level change)	6	2	0.0004575810415675765	0.03460456626854797	WDR52:PDLIM5	
GWAScatalog	Type 1 diabetes in high risk HLA genotype individuals (time to event)	6	2	0.0004575810415675765	0.03460456626854797	TH:ASCL2	
GWAScatalog	Glioblastoma (age-stratified)	6	2	0.0004575810415675765	0.03460456626854797	RTEL1:TERT	
GWAScatalog	Very long-chain saturated fatty acid levels (fatty acid 20:0)	28	3	0.0005024748906701801	0.03572198424925874	ITGB3:ITGB3:EFCAB13:NPEPPS	
GWAScatalog	Crohn's disease	597	11	0.0005117198845623841	0.03572198424925874	EHBP1:STMN3:RTEL1:RTEL1-TNFRSF6B:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46:JAZF1	
GWAScatalog	Celiac disease	125	5	0.0006846506578319029	0.046023738665366805	TH:ASCL2:KLK15:KLK3:KLK2	
Chemical_and_Genetic_pertubation	NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON	329	24	2.6357490789966068e-20	8.703243458846795e-17	COPZ2:SNX11:SKAP1:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:TTLL6:CALCOCO2:ATP5G1:UBE2Z:SNF8:B4GALNT2:PHOSPHO1:NGFR:SPOP:FAM117A:ITGA3:PDK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON
Chemical_and_Genetic_pertubation	AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	294	14	1.010167823752798e-09	1.6677870770158693e-06	CDC27:NPEPPS:SNX11:ATP5G1:UBE2Z:SNF8:SPOP:FAM117A:PDK2:DPF1:PSMD8:ARFRP1:ZGPAT:LMTK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
Chemical_and_Genetic_pertubation	BENPORATH_PRC2_TARGETS	634	17	8.132412597737482e-08	8.951075465909722e-05	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:OTX1:SIDT1:TET2:IRX4:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_PRC2_TARGETS
Chemical_and_Genetic_pertubation	NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON	146	9	1.2957844295097653e-07	0.00010696700465603113	GMEB2:STMN3:RTEL1:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46	http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON
Chemical_and_Genetic_pertubation	ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	137	8	1.0073614131760526e-06	0.0006652614772614652	KRT18:SNX11:HOXB2:HOXB3:HOXB6:HOXB7:BIK:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
Chemical_and_Genetic_pertubation	BENPORATH_ES_WITH_H3K27ME3	1083	20	2.0548222688586814e-06	0.001130837188628561	ASCL2:HNF1B:SKAP1:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:NGFR:OTX1:SIDT1:TET2:IRX4:RFX6:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_ES_WITH_H3K27ME3
Chemical_and_Genetic_pertubation	BENPORATH_SUZ12_TARGETS	1009	19	2.9004251843001873e-06	0.0013681719940798883	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:NGFR:GGN:OTX1:SIDT1:TET2:IRX4:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_SUZ12_TARGETS
Chemical_and_Genetic_pertubation	BENPORATH_EED_TARGETS	1024	18	1.4038385949325994e-05	0.005794343800584304	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:OTX1:SIDT1:TET2:IRX4:RFX6:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_EED_TARGETS
Chemical_and_Genetic_pertubation	MIKKELSEN_IPS_WITH_HCP_H3K27ME3	101	6	2.1829491177684155e-05	0.008008997763190341	HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8	http://www.gsea-msigdb.org/gsea/msigdb/cards/MIKKELSEN_IPS_WITH_HCP_H3K27ME3
Chemical_and_Genetic_pertubation	MEISSNER_NPC_HCP_WITH_H3K27ME3	79	5	8.059973113573754e-05	0.026614031221020535	HNF1B:HOXB4:HOXB6:HOXB7:B4GALNT2	http://www.gsea-msigdb.org/gsea/msigdb/cards/MEISSNER_NPC_HCP_WITH_H3K27ME3
Chemical_and_Genetic_pertubation	NELSON_RESPONSE_TO_ANDROGEN_UP	84	5	0.00010799185171894781	0.032417190397815064	KRT8:KLK3:KLK2:PDLIM5:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/NELSON_RESPONSE_TO_ANDROGEN_UP
Chemical_and_Genetic_pertubation	MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3	204	7	0.0001493176291155913	0.04108723427830687	ASCL2:FGF19:NGFR:ITGA3:BIK:CSMD1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/MIKKELSEN_NPC_HCP_WITH_H3K4ME3_AND_H3K27ME3
GO_cc	GO_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION	35	4	4.2279349063244915e-05	0.04232162841230816	ITGB3:ITGB3:ITGA3:ITGA6:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROTEIN_COMPLEX_INVOLVED_IN_CELL_ADHESION
Hallmark_gene_sets	HALLMARK_ANDROGEN_RESPONSE	100	6	2.0625528620524246e-05	0.0010312764310262124	CCND1:KRT8:KLK3:KLK2:PDLIM5:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_ANDROGEN_RESPONSE
Positional_gene_sets	chr17q21	297	28	9.16977425655372e-27	2.741762502709562e-24	CDC27:ITGB3:ITGB3:EFCAB13:NPEPPS:COPZ2:SNX11:SKAP1:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:TTLL6:CALCOCO2:ATP5G1:UBE2Z:SNF8:B4GALNT2:PHOSPHO1:NGFR:SPOP:FAM117A:ITGA3:PDK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr17q21
Positional_gene_sets	chr20q13	225	10	5.357296810466671e-07	8.009158731647673e-05	GMEB2:STMN3:RTEL1:RTEL1-TNFRSF6B:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr20q13
Positional_gene_sets	chr2p15	17	4	2.0765159259808485e-06	0.0002069594206227579	EHBP1:OTX1:WDPCP:MDH1	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2p15
Positional_gene_sets	chr2p11	46	5	5.6737351090419245e-06	0.00042411169940088385	MAT2A:GGCX:VAMP8:VAMP5:RNF181	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr2p11
Positional_gene_sets	chr8q12	28	4	1.7038076387173464e-05	0.0010188769679529731	XKR4:LYN:RPS20:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr8q12
Positional_gene_sets	chr3p11	7	2	0.0006382745060997169	0.03180734622063589	CHMP2B:POU1F1	http://www.gsea-msigdb.org/gsea/msigdb/cards/chr3p11
Wikipathways	Hippo-Merlin Signaling Dysregulation	120	6	5.7751934970419815e-05	0.016046111021411867	CCND1:ITGB3:ITGB3:NGFR:ITGA3:PPP1R14A:ITGA6	http://www.wikipathways.org/instance/WP4541_r103434
Wikipathways	Mammary gland development pathway - Embryonic development (Stage 1 of 4)	14	3	5.910169805308238e-05	0.016046111021411867	CCND1:ITGA6:TERT	http://www.wikipathways.org/instance/WP2813_r102405
GO_mf	GO_SEQUENCE_SPECIFIC_DNA_BINDING	1102	23	3.331743071798114e-08	5.480717353107898e-05	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:HOXB13:OTX1:GMEB2:ZGPAT:POU1F1:SKIL:TERT:IRX4:FOXP4:RFX6:BHLHA15:NKX3-1:PLAG1:POU5F1B	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SEQUENCE_SPECIFIC_DNA_BINDING
GO_mf	GO_PROXIMAL_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING	532	14	1.5736547208957593e-06	0.0012943310079367618	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB7:OTX1:GMEB2:ZGPAT:POU1F1:SKIL:RFX6:NKX3-1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_PROXIMAL_PROMOTER_SEQUENCE_SPECIFIC_DNA_BINDING
GO_mf	GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1675	25	4.261329202341609e-06	0.001927672525237844	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:HOXB13:OTX1:GMEB2:ZGPAT:SLC2A4RG:ZBTB46:POU1F1:SKIL:IRX4:FOXP4:RFX6:JAZF1:BHLHA15:NKX3-1:PLAG1:POU5F1B	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY
GO_mf	GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING	850	17	4.687349605441566e-06	0.001927672525237844	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:OTX1:GMEB2:ZGPAT:POU1F1:SKIL:RFX6:BHLHA15:NKX3-1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_SEQUENCE_SPECIFIC_DOUBLE_STRANDED_DNA_BINDING
GO_mf	GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING	922	17	1.3598582973848799e-05	0.004473933798396255	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:OTX1:GMEB2:ZGPAT:POU1F1:SKIL:RFX6:BHLHA15:NKX3-1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_REGULATORY_REGION_NUCLEIC_ACID_BINDING
GO_mf	GO_DOUBLE_STRANDED_DNA_BINDING	939	17	1.7206680520274478e-05	0.004717498242641919	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:OTX1:GMEB2:ZGPAT:POU1F1:SKIL:RFX6:BHLHA15:NKX3-1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DOUBLE_STRANDED_DNA_BINDING
GO_mf	GO_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	411	10	0.00010282473463535163	0.024163812639307634	HOXB1:HOXB2:HOXB3:HOXB4:HOXB7:OTX1:POU1F1:RFX6:BHLHA15:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/GO_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY
Curated_gene_sets	NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON	329	24	2.6357490789966068e-20	1.4499255683560335e-16	COPZ2:SNX11:SKAP1:HOXB1:HOXB2:HOXB3:HOXB4:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:TTLL6:CALCOCO2:ATP5G1:UBE2Z:SNF8:B4GALNT2:PHOSPHO1:NGFR:SPOP:FAM117A:ITGA3:PDK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_17Q21_Q25_AMPLICON
Curated_gene_sets	AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP	294	14	1.010167823752798e-09	2.7784665992320707e-06	CDC27:NPEPPS:SNX11:ATP5G1:UBE2Z:SNF8:SPOP:FAM117A:PDK2:DPF1:PSMD8:ARFRP1:ZGPAT:LMTK2	http://www.gsea-msigdb.org/gsea/msigdb/cards/AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP
Curated_gene_sets	BENPORATH_PRC2_TARGETS	634	17	8.132412597737482e-08	0.00014912133900051296	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:OTX1:SIDT1:TET2:IRX4:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_PRC2_TARGETS
Curated_gene_sets	NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON	146	9	1.2957844295097653e-07	0.0001782027536683305	GMEB2:STMN3:RTEL1:TNFRSF6B:ARFRP1:ZGPAT:LIME1:SLC2A4RG:ZBTB46	http://www.gsea-msigdb.org/gsea/msigdb/cards/NIKOLSKY_BREAST_CANCER_20Q12_Q13_AMPLICON
Curated_gene_sets	ALCALAY_AML_BY_NPM1_LOCALIZATION_UP	137	8	1.0073614131760526e-06	0.001108299026776293	KRT18:SNX11:HOXB2:HOXB3:HOXB6:HOXB7:BIK:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/ALCALAY_AML_BY_NPM1_LOCALIZATION_UP
Curated_gene_sets	BENPORATH_ES_WITH_H3K27ME3	1083	20	2.0548222688586814e-06	0.0018839295501652676	ASCL2:HNF1B:SKAP1:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:NGFR:OTX1:SIDT1:TET2:IRX4:RFX6:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_ES_WITH_H3K27ME3
Curated_gene_sets	BENPORATH_SUZ12_TARGETS	1009	19	2.9004251843001873e-06	0.0022793198484050473	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:NGFR:GGN:OTX1:SIDT1:TET2:IRX4:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_SUZ12_TARGETS
Curated_gene_sets	BENPORATH_EED_TARGETS	1024	18	1.4038385949325994e-05	0.009653145138405287	ASCL2:HNF1B:HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8:PRAC1:HOXB13:B4GALNT2:OTX1:SIDT1:TET2:IRX4:RFX6:CSMD1:NKX3-1	http://www.gsea-msigdb.org/gsea/msigdb/cards/BENPORATH_EED_TARGETS
Curated_gene_sets	MIKKELSEN_IPS_WITH_HCP_H3K27ME3	101	6	2.1829491177684155e-05	0.013342670107604504	HOXB1:HOXB2:HOXB3:HOXB6:HOXB7:HOXB8	http://www.gsea-msigdb.org/gsea/msigdb/cards/MIKKELSEN_IPS_WITH_HCP_H3K27ME3
Curated_gene_sets	MEISSNER_NPC_HCP_WITH_H3K27ME3	79	5	8.059973113573754e-05	0.04433791209776922	HNF1B:HOXB4:HOXB6:HOXB7:B4GALNT2	http://www.gsea-msigdb.org/gsea/msigdb/cards/MEISSNER_NPC_HCP_WITH_H3K27ME3
TF_targets	MZF1_02	231	9	5.971652302256591e-06	0.0036427079043765205	HNF1B:HOXB7:HOXB8:FAM117A:GGN:EHBP1:OTX1:JADE2:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/MZF1_02
TF_targets	CDPCR3HD_01	235	8	5.25343604087761e-05	0.01054947003875149	HOXB1:HOXB2:HOXB4:DPF1:OTX1:WDPCP:TET2:JADE2	http://www.gsea-msigdb.org/gsea/msigdb/cards/CDPCR3HD_01
TF_targets	GNCF_01	75	5	6.282572585207834e-05	0.01054947003875149	HNF1B:HOXB6:PRAC1:HOXB13:KLK15	http://www.gsea-msigdb.org/gsea/msigdb/cards/GNCF_01
TF_targets	YCATTAA_UNKNOWN	560	12	6.917685271312452e-05	0.01054947003875149	HOXB3:HOXB6:HOXB8:TTLL6:ATP5G1:FAM117A:KLK3:RNF181:IRX4:JADE2:JAZF1:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/YCATTAA_UNKNOWN
TF_targets	ZID_01	262	8	0.0001121835760059558	0.012993023442824781	HOXB8:UBE2Z:PHOSPHO1:NGFR:PSMD8:GGN:SKIL:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/ZID_01
TF_targets	OCT1_Q5_01	267	8	0.0001278002305851618	0.012993023442824781	HNF1B:HOXB3:HOXB4:HOXB6:HOXB8:FAM117A:IRX4:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/OCT1_Q5_01
TF_targets	LXR_DR4_Q3	92	5	0.00016604895252300426	0.013830856991076456	SPOP:OTX1:CHMP2B:JADE2:PLAG1	http://www.gsea-msigdb.org/gsea/msigdb/cards/LXR_DR4_Q3
TF_targets	YATGNWAAT_OCT_C	358	9	0.0001813882884075601	0.013830856991076456	CCND1:HNF1B:HOXB1:HOXB4:HOXB6:FAM117A:POU1F1:IRX4:LYN	http://www.gsea-msigdb.org/gsea/msigdb/cards/YATGNWAAT_OCT_C
